 ['GONE TROUBLE\n'] : 3 
 ['WRATH MILE\n'] : 3 
 ['MUSKETEERS WAIT\n'] : 3 
 ['DINOSAUR SECRETARY\n'] : 3 
 ['LORD ARIZONA\n'] : 3 
 ['COMA HEAD\n'] : 3 
 ['ALONE TRIP\n'] : 3 
 ['SHIP WONDERLAND\n'] : 3 
 ['SLEEPING SUSPECTS\n'] : 3 
 ['BEAR GRACELAND\n'] : 3 
 ['REAP UNFAITHFUL\n'] : 3 
 ['WIFE TURN\n'] : 3 
 ['CLUB GRAFFITI\n'] : 3 
 ['CONGENIALITY QUEST\n'] : 3 
 ['BEETHOVEN EXORCIST\n'] : 3 
 ['MOTHER OLEANDER\n'] : 3 
 ['PATTON INTERVIEW\n'] : 3 
 ['GALAXY SWEETHEARTS\n'] : 3 
 ['BARBARELLA STREETCAR\n'] : 3 
 ['RESERVOIR ADAPTATION\n'] : 3 
 ['BUTTERFLY CHOCOLAT\n'] : 3 
 ['POLISH BROOKLYN\n'] : 4 
 ['UNITED PILOT\n'] : 4 
 ['CHAINSAW UPTOWN\n'] : 4 
 ['MIXED DOORS'] : 4 
 ['JERSEY SASSY'] : 4 
 ['HARDLY ROBBERS'] : 4 
 ['BROTHERHOOD BLANKET', 'HARDLY ROBBERS'] : 4 
 ['HUNTER ALTER'] : 4 
 ['EXTRAORDINARY CONQUERER'] : 4 
 ['CLOSER BANG\n'] : 4 
 ['TRAIN BUNCH'] : 4 
 ['SEVEN SWARM'] : 5 
 ['CONSPIRACY SPIRIT'] : 5 
 ['CONSPIRACY SPIRIT', 'QUILLS BULL'] : 3 
 ['BUNCH MINDS'] : 5 
 ['MANNEQUIN WORST'] : 5 
 ['BRAVEHEART HUMAN'] : 5 
 ['CHAINSAW UPTOWN', 'BRAVEHEART HUMAN'] : 3 
 ['TEXAS WATCH'] : 5 
 ['TEXAS WATCH', 'HANKY OCTOBER'] : 3 
 ['GLORY TRACY'] : 5 
 ['PRIVATE DROP'] : 5 
 ['FREEDOM CLEOPATRA'] : 5 
 ['HAPPINESS UNITED'] : 5 
 ['FULL FLATLINERS'] : 5 
 ['FEVER EMPIRE'] : 5 
 ['TRAFFIC HOBBIT'] : 5 
 ['LADYBUGS ARMAGEDDON'] : 5 
 ['MUSSOLINI SPOILERS'] : 5 
 ['OTHERS SOUP', 'MUSSOLINI SPOILERS'] : 3 
 ['MIDSUMMER GROUNDHOG', 'MUSSOLINI SPOILERS'] : 3 
 ['MUSSOLINI SPOILERS', 'SCORPION APOLLO'] : 3 
 ['SENSE GREEK'] : 5 
 ['INFORMER DOUBLE'] : 5 
 ['OKLAHOMA JUMANJI'] : 6 
 ['FRONTIER CABIN'] : 6 
 ['ALAMO VIDEOTAPE', 'FRONTIER CABIN'] : 3 
 ['APOCALYPSE FLAMINGOS'] : 6 
 ['APOCALYPSE FLAMINGOS', 'SWEETHEARTS SUSPECTS'] : 3 
 ['DUCK RACER'] : 6 
 ['INTRIGUE WORST', 'DUCK RACER'] : 3 
 ['PHANTOM GLORY'] : 6 
 ['PARK CITIZEN'] : 6 
 ['ITALIAN AFRICAN'] : 6 
 ['MENAGERIE RUSHMORE'] : 6 
 ['MAUDE MOD'] : 6 
 ['HOLOCAUST HIGHBALL', 'MAUDE MOD'] : 3 
 ['BED HIGHBALL'] : 6 
 ['STALLION SUNDANCE'] : 6 
 ['STALLION SUNDANCE', 'TIGHTS DAWN'] : 3 
 ['STALLION SUNDANCE', 'DOGMA FAMILY'] : 3 
 ['SCHOOL JACKET'] : 6 
 ['SCHOOL JACKET', 'ANACONDA CONFESSIONS'] : 3 
 ['WARLOCK WEREWOLF'] : 6 
 ['SLUMS DUCK', 'WARLOCK WEREWOLF'] : 3 
 ['TEQUILA PAST'] : 6 
 ['BARBARELLA STREETCAR', 'TEQUILA PAST'] : 3 
 ['PUNK DIVORCE'] : 6 
 ['PURE RUNNER', 'PUNK DIVORCE'] : 3 
 ['ELF MURDER'] : 6 
 ['HYSTERICAL GRAIL', 'ELF MURDER'] : 3 
 ['ELF MURDER', 'CHICKEN HELLFIGHTERS'] : 3 
 ['REBEL AIRPORT'] : 6 
 ['REBEL AIRPORT', 'GROOVE FICTION'] : 3 
 ['BUBBLE GROSSE'] : 6 
 ['CASSIDY WYOMING'] : 6 
 ['WATERSHIP FRONTIER'] : 6 
 ['WILD APOLLO'] : 6 
 ['HAUNTED ANTITRUST'] : 6 
 ['KILLER INNOCENT'] : 6 
 ['ARMAGEDDON LOST', 'KILLER INNOCENT'] : 3 
 ['DOCTOR GRAIL'] : 6 
 ['OSCAR GOLD', 'DOCTOR GRAIL'] : 3 
 ['GRACELAND DYNAMITE'] : 6 
 ['HUSTLER PARTY', 'GRACELAND DYNAMITE'] : 4 
 ['DUMBO LUST'] : 6 
 ['DESPERATE TRAINSPOTTING'] : 6 
 ['TERMINATOR CLUB'] : 6 
 ['JAPANESE RUN'] : 6 
 ['EARRING INSTINCT', 'JAPANESE RUN'] : 3 
 ['LESSON CLEOPATRA'] : 6 
 ['SLING LUKE'] : 6 
 ['RUSHMORE MERMAID'] : 6 
 ['COMANCHEROS ENEMY'] : 6 
 ['SALUTE APOLLO', 'COMANCHEROS ENEMY'] : 3 
 ['SIMON NORTH'] : 6 
 ['YOUTH KICK'] : 6 
 ['DIVORCE SHINING'] : 7 
 ['RESERVOIR ADAPTATION'] : 7 
 ['REIGN GENTLEMEN', 'RESERVOIR ADAPTATION'] : 3 
 ['OSCAR GOLD', 'REIGN GENTLEMEN', 'RESERVOIR ADAPTATION'] : 3 
 ['OSCAR GOLD', 'RESERVOIR ADAPTATION'] : 3 
 ['DUFFEL APOCALYPSE'] : 7 
 ['DUFFEL APOCALYPSE', 'VACATION BOONDOCK'] : 3 
 ['HEAVENLY GUN'] : 7 
 ['PIZZA JUMANJI'] : 7 
 ['WIFE TURN', 'PIZZA JUMANJI'] : 3 
 ['HARPER DYING', 'PIZZA JUMANJI'] : 4 
 ['SQUAD FISH'] : 7 
 ['SQUAD FISH', 'SOMETHING DUCK'] : 3 
 ['BULWORTH COMMANDMENTS'] : 7 
 ['HYDE DOCTOR', 'BULWORTH COMMANDMENTS'] : 3 
 ['JUMANJI BLADE'] : 7 
 ['CLUE GRAIL'] : 7 
 ['CLUE GRAIL', 'ROBBERS JOON'] : 3 
 ['PRESIDENT BANG'] : 7 
 ['WRONG BEHAVIOR', 'PRESIDENT BANG'] : 3 
 ['VANISHED GARDEN'] : 7 
 ['AMISTAD MIDSUMMER', 'VANISHED GARDEN'] : 3 
 ['CONTROL ANTHEM'] : 7 
 ['CONTROL ANTHEM', 'STEERS ARMAGEDDON'] : 3 
 ['CONTROL ANTHEM', 'HARPER DYING'] : 3 
 ['CONNECTION MICROCOSMOS'] : 7 
 ['NEWSIES STORY'] : 7 
 ['MONSOON CAUSE', 'NEWSIES STORY'] : 3 
 ['PAJAMA JAWBREAKER', 'NEWSIES STORY'] : 3 
 ['SUPER WYOMING', 'NEWSIES STORY'] : 3 
 ['BINGO TALENTED', 'NEWSIES STORY'] : 3 
 ['ACE GOLDFINGER'] : 7 
 ['GONE TROUBLE'] : 7 
 ['MASSACRE USUAL', 'GONE TROUBLE'] : 3 
 ['UNTOUCHABLES SUNRISE'] : 7 
 ['CAUSE DATE', 'UNTOUCHABLES SUNRISE'] : 3 
 ['UNTOUCHABLES SUNRISE', 'BORROWERS BEDAZZLED'] : 3 
 ['MULHOLLAND BEAST'] : 7 
 ['MULHOLLAND BEAST', 'SHOW LORD'] : 4 
 ['LUKE MUMMY'] : 7 
 ['PAST SUICIDES', 'LUKE MUMMY'] : 3 
 ['VISION TORQUE'] : 7 
 ['ALIEN CENTER', 'VISION TORQUE'] : 3 
 ['DOZEN LION'] : 7 
 ['DOZEN LION', 'MARS ROMAN'] : 3 
 ['HOBBIT ALIEN', 'DOZEN LION'] : 3 
 ['MONTEZUMA COMMAND'] : 7 
 ['CIDER DESIRE', 'MONTEZUMA COMMAND'] : 3 
 ['LEATHERNECKS DWARFS'] : 7 
 ['GUNFIGHT MOON', 'LEATHERNECKS DWARFS'] : 3 
 ['TREATMENT JEKYLL'] : 7 
 ['SCARFACE BANG', 'TREATMENT JEKYLL'] : 3 
 ['YOUNG LANGUAGE'] : 7 
 ['COWBOY DOOM'] : 7 
 ['HORN WORKING', 'COWBOY DOOM'] : 3 
 ['LICENSE WEEKEND'] : 7 
 ['LICENSE WEEKEND', 'ROOM ROMAN'] : 3 
 ['SAINTS BRIDE'] : 7 
 ['BANG KWAI'] : 7 
 ['BANG KWAI', 'KISS GLORY'] : 3 
 ['BANG KWAI', 'AGENT TRUMAN'] : 3 
 ['EARLY HOME'] : 7 
 ['EVE RESURRECTION'] : 7 
 ['EVE RESURRECTION', 'GRAFFITI LOVE'] : 3 
 ['DAUGHTER MADIGAN'] : 7 
